model,city,count,avg_error,mae
bma_aggregate,Amsterdam, NL,7,0.0,0.0
bma_aggregate,Ankara, TR,7,-1.5,1.5
bma_aggregate,Atlanta, US,7,1.5,1.5
bma_aggregate,Austin, US,7,0.5,0.5
bma_aggregate,Beijing, CN,7,-0.3,0.3
bma_aggregate,Buenos Aires, AR,7,-0.3,0.3
bma_aggregate,Busan, KR,7,-0.9,0.9
bma_aggregate,Cape Town, ZA,7,-0.8,0.8
bma_aggregate,Chengdu, CN,7,-0.8,0.8
bma_aggregate,Chicago, US,7,0.8,0.8
bma_aggregate,Chongqing, CN,7,0.4,0.4
bma_aggregate,Dallas, US,7,0.3,0.3
bma_aggregate,Denver, US,7,-1.0,1.0
bma_aggregate,Guangzhou, CN,7,0.0,0.0
bma_aggregate,Helsinki, FI,7,0.6,0.6
bma_aggregate,Hong Kong, HK,7,-1.8,1.8
bma_aggregate,Houston, US,7,1.6,1.6
bma_aggregate,Istanbul, TR,7,-1.3,1.3
bma_aggregate,Jeddah, SA,7,-0.2,0.2
bma_aggregate,Jinan, CN,7,-2.1,2.1
bma_aggregate,Karachi, PK,7,-0.1,0.1
bma_aggregate,Kuala Lumpur, MY,7,-0.8,0.8
bma_aggregate,London, UK,7,-0.1,0.1
bma_aggregate,Los Angeles, US,7,0.8,0.8
bma_aggregate,Lucknow, IN,7,1.0,1.0
bma_aggregate,Madrid, ES,7,-0.3,0.3
bma_aggregate,Manila, PH,7,-0.2,0.2
bma_aggregate,Mexico City, MX,7,1.4,1.4
bma_aggregate,Miami, US,7,-0.2,0.2
bma_aggregate,Milan, IT,7,0.2,0.2
bma_aggregate,Moscow, RU,8,0.15,0.15
bma_aggregate,Munich, DE,7,0.1,0.1
bma_aggregate,New York, US,7,-0.6,0.6
bma_aggregate,Panama City, PA,7,0.8,0.8
bma_aggregate,Paris, FR,7,0.2,0.2
bma_aggregate,Qingdao, CN,7,-0.4,0.4
bma_aggregate,San Francisco, US,7,0.7,0.7
bma_aggregate,Sao Paulo, BR,7,-0.9,0.9
bma_aggregate,Seattle, US,7,-1.0,1.0
bma_aggregate,Seoul (Incheon), KR,7,-1.1,1.1
bma_aggregate,Shanghai, CN,7,0.4,0.4
bma_aggregate,Shenzhen, CN,7,0.3,0.3
bma_aggregate,Singapore, SG,7,-1.4,1.4
bma_aggregate,Taipei, TW,7,0.2,0.2
bma_aggregate,Tel Aviv, IL,7,1.1,1.1
bma_aggregate,Tokyo, JP,7,-0.7,0.7
bma_aggregate,Toronto, CA,7,-0.6,0.6
bma_aggregate,Warsaw, PL,7,0.6,0.6
bma_aggregate,Wellington, NZ,7,2.2,2.2
bma_aggregate,Wuhan, CN,7,-1.1,1.1
bma_aggregate,Zhengzhou, CN,7,-0.3,0.3
