city,n,unit,baseline_is_wr,best_method,best_is_wr,improvement_is,baseline_oos_wr,additive_oos_wr,linear_oos_wr,verdict,flag
"Singapore, SG",22,C,0.045454545454545456,linear,0.7727272727272727,0.7272727272727273,0.0,0.6363636363636364,0.7272727272727273,GIR MENING,
"Shanghai, CN",22,C,0.09090909090909091,linear,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.45454545454545453,0.8181818181818182,GIR MENING,
"Kuala Lumpur, MY",21,C,0.047619047619047616,linear,0.6190476190476191,0.5714285714285714,0.09090909090909091,0.6363636363636364,0.6363636363636364,GIR MENING,
"Ankara, TR",25,C,0.16,additive,0.72,0.5599999999999999,0.0,0.38461538461538464,0.38461538461538464,GIR MENING,
"Austin, US",25,F,0.2,additive,0.68,0.48000000000000004,0.15384615384615385,0.6923076923076923,0.6923076923076923,GIR MENING,
"Denver, US",25,F,0.12,median,0.6,0.48,0.15384615384615385,0.5384615384615384,0.5384615384615384,GIR MENING,
"Miami, US",25,F,0.12,median,0.6,0.48,0.15384615384615385,0.23076923076923078,0.6923076923076923,GIR MENING,
"Tel Aviv, IL",25,C,0.28,median,0.76,0.48,0.15384615384615385,0.7692307692307693,0.7692307692307693,GIR MENING,
"Panama City, PA",21,C,0.14285714285714285,median,0.6190476190476191,0.4761904761904762,0.18181818181818182,0.5454545454545454,0.6363636363636364,GIR MENING,
"Los Angeles, US",24,F,0.125,linear,0.5833333333333334,0.45833333333333337,0.08333333333333333,0.4166666666666667,0.4166666666666667,GIR MENING,
"Milan, IT",24,C,0.25,linear,0.7083333333333334,0.45833333333333337,0.0,0.25,0.6666666666666666,GIR MENING,
"Zhengzhou, CN",11,C,0.18181818181818182,median,0.6363636363636364,0.45454545454545453,0.16666666666666666,0.5,0.6666666666666666,GIR MENING,
"Chongqing, CN",20,C,0.1,additive,0.55,0.45000000000000007,0.2,0.5,0.4,GIR MENING,
"Munich, DE",25,C,0.16,multiplicative,0.6,0.43999999999999995,0.07692307692307693,0.38461538461538464,0.38461538461538464,GIR MENING,
"Seoul (Incheon), KR",21,C,0.14285714285714285,linear,0.5238095238095238,0.380952380952381,0.09090909090909091,0.2727272727272727,0.18181818181818182,GIR MENING,
"San Francisco, US",25,F,0.12,median,0.44,0.32,0.07692307692307693,0.38461538461538464,0.3076923076923077,GIR MENING,
"Beijing, CN",22,C,0.2727272727272727,linear,0.5909090909090909,0.31818181818181823,0.2727272727272727,0.5454545454545454,0.45454545454545453,GIR MENING,
"Taipei, TW",22,C,0.09090909090909091,median,0.4090909090909091,0.31818181818181823,0.18181818181818182,0.2727272727272727,0.09090909090909091,GIR MENING,
"Busan, KR",22,C,0.18181818181818182,additive,0.5,0.3181818181818182,0.18181818181818182,0.36363636363636365,0.2727272727272727,GIR MENING,
"Qingdao, CN",22,C,0.2727272727272727,additive,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.45454545454545453,GIR MENING,
"Chengdu, CN",20,C,0.05,additive,0.3,0.25,0.1,0.4,0.2,GIR MENING,
"Wellington, NZ",24,C,0.16666666666666666,multiplicative,0.4166666666666667,0.25,0.08333333333333333,0.5,0.5,GIR MENING,
"Sao Paulo, BR",24,C,0.20833333333333334,linear,0.4583333333333333,0.24999999999999997,0.16666666666666666,0.3333333333333333,0.3333333333333333,GIR MENING,
"Wuhan, CN",21,C,0.14285714285714285,median,0.38095238095238093,0.23809523809523808,0.09090909090909091,0.36363636363636365,0.18181818181818182,GIR MENING,
"Seattle, US",25,F,0.24,additive,0.44,0.2,0.15384615384615385,0.38461538461538464,0.38461538461538464,GIR MENING,
"Cape Town, ZA",24,C,0.25,linear,0.4166666666666667,0.16666666666666669,0.4166666666666667,0.5,0.6666666666666666,GIR MENING,
"Karachi, PK",24,C,0.4583333333333333,linear,0.5833333333333334,0.12500000000000006,0.08333333333333333,0.3333333333333333,0.5,GIR MENING,
"Lucknow, IN",24,C,0.4583333333333333,linear,0.5833333333333334,0.12500000000000006,0.5833333333333334,0.5833333333333334,0.75,GIR MENING,
"London, UK",24,C,0.3333333333333333,median,0.4583333333333333,0.125,0.4166666666666667,0.4166666666666667,0.5,GIR MENING,
"Houston, US",25,F,0.56,linear,0.68,0.12,0.46153846153846156,0.5384615384615384,0.5384615384615384,GIR MENING,
"Shenzhen, CN",22,C,0.5,median,0.5909090909090909,0.09090909090909094,0.5454545454545454,0.45454545454545453,0.5454545454545454,GIR MENING,
"Mexico City, MX",23,C,0.4782608695652174,median,0.5652173913043478,0.08695652173913038,0.3333333333333333,0.3333333333333333,0.3333333333333333,GIR MENING,
"Amsterdam, NL",25,C,0.4,median,0.44,0.03999999999999998,0.38461538461538464,0.46153846153846156,0.46153846153846156,GIR MENING,
"Helsinki, FI",25,C,0.4,additive,0.44,0.03999999999999998,0.46153846153846156,0.5384615384615384,0.5384615384615384,GIR MENING,
"Jinan, CN",1,C,0.0,additive,1.0,1.0,,,,IKKE MENING,FOR LITE DATA
"Atlanta, US",25,F,0.2,linear,0.72,0.52,0.3076923076923077,0.46153846153846156,0.23076923076923078,IKKE MENING,
"Dallas, US",24,F,0.375,linear,0.75,0.375,0.5,0.5,0.25,IKKE MENING,
"Manila, PH",22,C,0.22727272727272727,additive,0.45454545454545453,0.22727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,IKKE MENING,
"Guangzhou, CN",20,C,0.15,additive,0.35,0.19999999999999998,0.2,0.2,0.0,IKKE MENING,
"Hong Kong, HK",22,C,0.36363636363636365,additive,0.5454545454545454,0.18181818181818177,0.36363636363636365,0.2727272727272727,0.2727272727272727,IKKE MENING,
"Madrid, ES",24,C,0.375,additive,0.5,0.125,0.6666666666666666,0.3333333333333333,0.3333333333333333,IKKE MENING,
"Moscow, RU",25,C,0.48,median,0.6,0.12,0.38461538461538464,0.3076923076923077,0.3076923076923077,IKKE MENING,
"Jeddah, SA",22,C,0.36363636363636365,additive,0.45454545454545453,0.09090909090909088,0.36363636363636365,0.2727272727272727,0.2727272727272727,IKKE MENING,
