city,date,unit,type,bucket,value,temp_c,temp_f,temp_display,source
"Amsterdam, NL",2026-08-06,C,point,21°C,21.0,21.0,,21°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-07,C,point,22°C,22.0,22.0,,22°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-08,C,point,25°C,25.0,25.0,,25°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-09,C,point,30°C,30.0,30.0,,30°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-10,C,point,23.0°C,23.0,23.0,,23.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-11,C,point,22.0°C,22.0,22.0,,22.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-12,C,point,28.0°C,28.0,28.0,,28.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-13,C,point,33.0°C,33.0,33.0,,33.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-14,C,point,34.0°C,34.0,34.0,,34.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-15,C,point,23.0°C,23.0,23.0,,23.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-16,C,point,23.0°C,23.0,23.0,,23.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-17,C,point,21.0°C,21.0,21.0,,21.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-18,C,point,21.0°C,21.0,21.0,,21.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-19,C,point,21.0°C,21.0,21.0,,21.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-20,C,point,22.0°C,22.0,22.0,,22.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-21,C,point,20.0°C,20.0,20.0,,20.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-22,C,point,20.0°C,20.0,20.0,,20.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-23,C,point,20.0°C,20.0,20.0,,20.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-24,C,point,21.0°C,21.0,21.0,,21.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-25,C,point,25.0°C,25.0,25.0,,25.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-26,C,point,26.0°C,26.0,26.0,,26.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-27,C,point,27.0°C,27.0,27.0,,27.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-28,C,point,23.0°C,23.0,23.0,,23.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-29,C,point,22.0°C,22.0,22.0,,22.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-30,C,point,21.0°C,21.0,21.0,,21.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-08-31,C,point,20.0°C,20.0,20.0,,20.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-09-01,C,point,20.0°C,20.0,20.0,,20.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-09-02,C,point,22.0°C,22.0,22.0,,22.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-09-03,C,point,22.0°C,22.0,22.0,,22.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-09-04,C,point,22.0°C,22.0,22.0,,22.0°C,Polymarket Gamma API
"Amsterdam, NL",2026-09-05,C,point,20.0°C,20.0,20.0,,20.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-06,C,point,32°C,32.0,32.0,,32°C,Polymarket Gamma API
"Ankara, TR",2026-08-07,C,point,33°C,33.0,33.0,,33°C,Polymarket Gamma API
"Ankara, TR",2026-08-08,C,point,33°C,33.0,33.0,,33°C,Polymarket Gamma API
"Ankara, TR",2026-08-09,C,point,31°C,31.0,31.0,,31°C,Polymarket Gamma API
"Ankara, TR",2026-08-10,C,point,31.0°C,31.0,31.0,,31.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-11,C,point,32.0°C,32.0,32.0,,32.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-12,C,point,32.0°C,32.0,32.0,,32.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-13,C,point,30.0°C,30.0,30.0,,30.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-14,C,point,27.0°C,27.0,27.0,,27.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-15,C,point,26.0°C,26.0,26.0,,26.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-16,C,point,27.0°C,27.0,27.0,,27.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-17,C,point,27.0°C,27.0,27.0,,27.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-18,C,point,30.0°C,30.0,30.0,,30.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-19,C,point,32.0°C,32.0,32.0,,32.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-20,C,point,31.0°C,31.0,31.0,,31.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-21,C,point,33.0°C,33.0,33.0,,33.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-22,C,point,35.0°C,35.0,35.0,,35.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-23,C,point,35.0°C,35.0,35.0,,35.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-24,C,point,33.0°C,33.0,33.0,,33.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-25,C,point,30.0°C,30.0,30.0,,30.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-26,C,point,33.0°C,33.0,33.0,,33.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-27,C,point,33.0°C,33.0,33.0,,33.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-28,C,point,27.0°C,27.0,27.0,,27.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-29,C,point,23.0°C,23.0,23.0,,23.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-30,C,point,26.0°C,26.0,26.0,,26.0°C,Polymarket Gamma API
"Ankara, TR",2026-08-31,C,point,29.0°C,29.0,29.0,,29.0°C,Polymarket Gamma API
"Ankara, TR",2026-09-01,C,point,30.0°C,30.0,30.0,,30.0°C,Polymarket Gamma API
"Ankara, TR",2026-09-02,C,point,31.0°C,31.0,31.0,,31.0°C,Polymarket Gamma API
"Ankara, TR",2026-09-03,C,point,30.0°C,30.0,30.0,,30.0°C,Polymarket Gamma API
"Ankara, TR",2026-09-04,C,point,29.0°C,29.0,29.0,,29.0°C,Polymarket Gamma API
"Ankara, TR",2026-09-05,C,point,29.0°C,29.0,29.0,,29.0°C,Polymarket Gamma API
"Atlanta, US",2026-08-06,F,point,88-89°F,88.5,31.4,88.5,88-89°F,Polymarket Gamma API
"Atlanta, US",2026-08-07,F,point,86-87°F,86.5,30.3,86.5,86-87°F,Polymarket Gamma API
"Atlanta, US",2026-08-08,F,point,90-91°F,90.5,32.5,90.5,90-91°F,Polymarket Gamma API
"Atlanta, US",2026-08-09,F,point,90-91°F,90.5,32.5,90.5,90-91°F,Polymarket Gamma API
"Atlanta, US",2026-08-10,F,point,94-95°F,94.5,34.7,94.5,94-95°F,Polymarket Gamma API
"Atlanta, US",2026-08-11,F,point,92-93°F,92.5,33.6,92.5,92-93°F,Polymarket Gamma API
"Atlanta, US",2026-08-12,F,point,92-93°F,92.5,33.6,92.5,92-93°F,Polymarket Gamma API
"Atlanta, US",2026-08-13,F,point,94-95°F,94.5,34.7,94.5,94-95°F,Polymarket Gamma API
"Atlanta, US",2026-08-14,F,point,94-95°F,94.5,34.7,94.5,94-95°F,Polymarket Gamma API
"Atlanta, US",2026-08-15,F,point,94-95°F,94.5,34.7,94.5,94-95°F,Polymarket Gamma API
"Atlanta, US",2026-08-16,F,point,94-95°F,94.5,34.7,94.5,94-95°F,Polymarket Gamma API
"Atlanta, US",2026-08-17,F,point,98-99°F,98.5,36.9,98.5,98-99°F,Polymarket Gamma API
"Atlanta, US",2026-08-18,F,point,92-93°F,92.5,33.6,92.5,92-93°F,Polymarket Gamma API
"Atlanta, US",2026-08-19,F,point,94-95°F,94.5,34.7,94.5,94-95°F,Polymarket Gamma API
"Atlanta, US",2026-08-20,F,point,96-97°F,96.5,35.8,96.5,96-97°F,Polymarket Gamma API
