date,bma_mean,wu_real_max,wu_truncated_bucket,our_previous_bucket,status
2026-08-11,35.9,35.0,35,36,200
2026-08-12,35.5,35.0,35,36,200
2026-08-13,33.7,34.0,34,34,200
2026-08-14,33.0,32.0,32,33,200
2026-08-15,33.7,33.0,33,34,200
2026-08-16,33.4,33.0,33,33,200
2026-08-17,32.3,31.0,31,32,200
2026-08-18,32.3,32.0,32,32,200
2026-08-19,33.0,32.0,32,33,200
2026-08-20,33.8,32.0,32,34,200
2026-08-21,33.9,33.0,33,34,200
2026-08-22,33.1,33.0,33,33,200
2026-08-23,33.0,32.0,32,33,200
2026-08-24,33.6,33.0,33,34,200
2026-08-25,33.7,33.0,33,34,200
2026-08-26,34.5,33.0,33,34,200
2026-08-27,34.2,33.0,33,34,200
2026-08-28,33.6,33.0,33,34,200
2026-08-29,33.8,33.0,33,34,200
2026-08-30,31.9,32.0,32,32,200
2026-08-31,32.0,32.0,32,32,200
2026-09-01,32.8,32.0,32,33,200
2026-09-02,33.8,33.0,33,34,200
2026-09-03,33.0,32.0,32,33,200
2026-09-04,32.7,32.0,32,33,200
2026-09-05,32.3,32.0,32,32,200
