city,station,date,status,wu_real_max,unit,wu_time_of_max,wu_n_readings
Amsterdam, NL,EHAM,2026-09-04,200,22,C,10:55 AM,47
Ankara, TR,LTAC,2026-09-04,200,29,C,5:20 PM,48
Atlanta, US,KATL,2026-09-04,200,95,F,5:52 PM,24
Austin, US,KAUS,2026-09-04,200,95,F,4:53 PM,27
Beijing, CN,ZBAA,2026-09-04,200,33,C,5:00 PM,48
Buenos Aires, AR,SAEZ,2026-09-04,200,18,C,3:00 PM,24
Busan, KR,RKPK,2026-09-04,200,29,C,3:00 PM,24
Cape Town, ZA,FACT,2026-09-04,200,20,C,3:00 PM,30
Chengdu, CN,ZUUU,2026-09-04,200,34,C,2:00 PM,24
Chicago, US,KORD,2026-09-04,200,93,F,4:51 PM,26
Chongqing, CN,ZUCK,2026-09-04,200,34,C,5:00 PM,24
Dallas, US,KDAL,2026-09-04,200,99,F,5:53 PM,27
Denver, US,KBKF,2026-09-04,200,95,F,3:58 PM,24
Guangzhou, CN,ZGGG,2026-09-04,200,28,C,9:00 PM,48
Helsinki, FI,EFHK,2026-09-04,200,18,C,1:50 PM,48
Hong Kong, HK,VHHH,2026-09-04,0,,,,0
Houston, US,KHOU,2026-09-04,200,93,F,4:53 PM,24
Istanbul, TR,LTBA,2026-09-04,200,29,C,2:50 PM,48
Jeddah, SA,OEJN,2026-09-04,200,37,C,4:00 PM,24
Jinan, CN,ZSJN,2026-09-04,200,31,C,4:00 PM,24
Karachi, PK,OPKC,2026-09-04,200,31,C,4:30 PM,48
Kuala Lumpur, MY,WMKK,2026-09-04,200,34,C,3:30 PM,50
London, UK,EGLC,2026-09-04,200,22,C,8:20 AM,48
Los Angeles, US,KLAX,2026-09-04,200,79,F,2:53 PM,28
Lucknow, IN,VILK,2026-09-04,200,31,C,5:00 PM,48
Madrid, ES,LEMD,2026-09-04,200,38,C,7:30 PM,48
Manila, PH,RPLL,2026-09-04,200,29,C,10:00 AM,28
Mexico City, MX,MMMX,2026-09-04,200,26,C,3:54 PM,29
Miami, US,KMIA,2026-09-04,200,91,F,12:53 PM,30
Milan, IT,LIMC,2026-09-04,200,33,C,5:20 PM,48
Moscow, RU,UUEE,2026-09-04,200,21,C,5:30 PM,70
Munich, DE,EDDM,2026-09-04,200,30,C,5:50 PM,48
New York, US,KLGA,2026-09-04,200,86,F,5:51 PM,24
Panama City, PA,MPMG,2026-09-04,200,32,C,12:00 PM,26
Paris, FR,LFPB,2026-09-04,200,28,C,5:00 PM,48
Qingdao, CN,ZSQD,2026-09-04,200,32,C,2:00 PM,24
San Francisco, US,KSFO,2026-09-04,200,72,F,2:56 PM,27
Sao Paulo, BR,SBGR,2026-09-04,200,31,C,3:00 PM,26
Seattle, US,KSEA,2026-09-04,200,70,F,4:53 PM,27
Seoul (Incheon), KR,RKSI,2026-09-04,200,30,C,5:00 PM,48
Shanghai, CN,ZSPD,2026-09-04,200,31,C,1:30 PM,48
Shenzhen, CN,ZGSZ,2026-09-04,200,31,C,3:00 PM,24
Singapore, SG,WSSS,2026-09-04,200,33,C,2:00 PM,48
Taipei, TW,RCSS,2026-09-04,200,27,C,7:30 AM,53
Tel Aviv, IL,LLBG,2026-09-04,200,32,C,2:50 PM,48
Tokyo, JP,RJTT,2026-09-04,200,27,C,1:30 AM,48
Toronto, CA,CYYZ,2026-09-04,200,25,C,4:00 PM,24
Warsaw, PL,EPWA,2026-09-04,200,22,C,9:00 PM,48
Wellington, NZ,NZWN,2026-09-04,200,18,C,3:00 PM,48
Wuhan, CN,ZHHH,2026-09-04,200,31,C,2:00 PM,24
Zhengzhou, CN,ZHCC,2026-09-04,200,30,C,5:00 PM,24
